optionId,productId,optionName,optionImageColor,optionImageIcon,optionDimensions,optionWeight,optionMaterials,optionInput,optionOutput,optionPrice
1,1,64GB Gunmetal,#5A5050,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,439
2,1,64GB SoftGold,#B1A897,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,439
3,2,Sandstone,#333333,,152.5 x 76.8 x 9.2mm,18g,PC,,,19.95
4,2,Bamboo,,/cases/3t-protective-case/bamboo/iconbg.jpg,152.5 x 76.8 x 9mm,12g,Bamboo+Kevlar,,,24.95
5,2,Ebony Wood,,/cases/3t-protective-case/ebony-wood/iconbg.jpg,153.5 x 76.8 x 9mm,12g,Ebony+Kevlar,,,24.95
6,2,Karbon,,/cases/3t-protective-case/karbon/iconbg.jpg,154.5 x 76.8 x 9mm,12g,Kevlar,,,24.95
7,2,Rosewood,,/cases/3t-protective-case/rosewood/iconbg.jpg,155.5 x 76.8 x 9mm,12g,Rosewood+Kevlar,,,24.95
8,3,Black,#333333,,155 x 78.5 x 13mm,85g,PC+PU,,,19.95
9,3,Gray,#B0B0B0,,155 x 78.5 x13mm,85g,PC+PU,,,19.95
10,4,Cardinal Red,#8A343D,,158 x 83 x 12.2mm,98g,PC + Silicone,,,24.95
11,4,Dark Matter,#333333,,158 x 83 x 12.2mm,98g,PC + Silicone,,,24.95
12,4,Saharan White,#FFFFFF,,158 x 83 x 12.2mm,98g,PC + Silicone,,,24.95
13,5,Bamboo,,/cases/2-styleswap/bamboo/iconbg.jpg,127.9 x 80.9 x 7.1 mm,18g,PC + Bamboo,,,18.89
14,5,Black Apricot,,/cases/2-styleswap/black-apricot/iconbg.jpg,127.9 x 80.9 x 7.1 mm,18g,PC + Wood,,,18.89
15,5,Karbon,,/cases/2-styleswap/karbon/iconbg.jpg,127.9 x 80.9 x 7.1 mm,18g,PC + Kevlar,,,18.89
16,5,Rosewood,,/cases/2-styleswap/rosewood/iconbg.jpg,127.9 x 80.9 x 7.1 mm,18g,PC + Wood,,,18.89
17,6,Black,#333333,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
18,6,White,#FFFFFF,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
19,6,Gray,#B0B0B0,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
20,6,Blue,#9BC9E3,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
21,6,Yellow,#FBD326,,153.4 x 80 x 14.5mm,55g,PU + PC,,,13.99
