productId,productName,categoryId
1,OnePlus3T,1
2,OnePlus 3/3T Protective Case,2
3,OnePlus 3/3T Flip Cover,2
4,Otterbox Case for OnePlus 3/3T,2
5,OnePlus 2 StyleSwap Cover,2
6,OnePlus 2 Flip Cover,2
7,OnePlus 2 Silicone Case,2
8,OnePlus X Protective Case,2
9,OnePlus X Flip Cover,2
10,OnePlus X Silicone Case,2
11,OnePlus X Translucent Cover,2
12,OnePlus X Hard Graft Case,2
13,OnePlus Powerbank Silicone Case,2
14,OnePlus iPhone 6/6S Case,2
15,OnePlus 3/3T Curved Glass Protector,3
16,OnePlus 3/3T Tempered Glass Screen Protector,3
17,OnePlus 2 Premium Screen Protector,3
18,OnePlus X Tempered Glass Screen Protector,3
19,OnePlus X Premium Screen Protector,3
20,OnePlus Dash Power Adapter,4
21,OnePlus Dash Type-C Cable,5
22,OnePlus USB TypeC OTG Cable,5
23,OnePlus Dash Car Charger,4
24,OnePlus MicroUSB Cable,5
25,OnePlus MicroUSB OTG Cable,5
26,OnePlus MicroUSB Power Adapter,4
27,OnePlus 10000 mAh Powerbank,6
28,OnePlus Bullets v2 Headphones,7
29,OnePlus Icons Headphones,7
30,OnePlus Travel Backpack,8
31,OnePlus Travel Messenger Bag,8
32,OnePlus Leather Messenger Bag,8
33,OnePlus Never Settle T-Shirt,8
34,OnePlus Dash T-Shirt,8
