optionId,optionName,optionImageColor,optionImageIcon,optionImage1,optionImage2,optionImage3,optionImage4,optionImage5,optionDimensions,optionWeight,optionMaterials,optionInput,optionOutput,optionPrice
1,64GB Gunmetal,#5A5050,,/oneplus3t/3t,/oneplus3t/3t-back,,,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,439.00
2,64GB SoftGold,#B1A897,,/oneplus3t/3t-gold,/oneplus3t/3t-back,,,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,439.00
3,Sandstone,#333333,,/cases/3t-protective-case/sandstone/back.png,/cases/3t-protective-case/sandstone/back-side-left.png,/cases/protective-case/sandstone/back-side-right.png,/cases/protective-case/sandstone/front.png,/cases/protective-case/sandstone/side.png,152.5 x 76.8 x 9.2mm,18g,PC,,,19.95
4,Bamboo,,/cases/protective-case/bamboo/iconbg.jpg,/cases/3t-protective-case/bamboo/back.png,/cases/3t-protective-case/bamboo/back-side-left.png,/cases/protective-case/bamboo/back-side-right.png,/cases/protective-case/bamboo/front.png,/cases/protective-case/bamboo/side.png,152.5 x 76.8 x 9mm,12g,Bamboo+Kevlar,,,24.95
5,Ebony Wood,,/cases/protective-case/ebony-wood/iconbg.jpg,/cases/3t-protective-case/ebony-wood/back.png,/cases/3t-protective-case/ebony-wood/back-side-left.png,/cases/protective-case/ebony-wood/back-side-right.png,/cases/protective-case/ebony-wood/front.png,/cases/protective-case/ebony-wood/side.png,153.5 x 76.8 x 9mm,12g,Ebony+Kevlar,,,24.95
6,Karbon,,/cases/protective-case/karbon/iconbg.jpg,/cases/3t-protective-case/karbon/back.png,/cases/3t-protective-case/karbon/back-side-left.png,/cases/protective-case/karbon/back-side-right.png,/cases/protective-case/karbon/front.png,/cases/protective-case/karbon/side.png,154.5 x 76.8 x 9mm,12g,Kevlar,,,24.95
7,Rosewood,,/cases/protective-case/rosewood/iconbg.jpg,/cases/3t-protective-case/rosewood/back.png,/cases/3t-protective-case/rosewood/back-side-left.png,/cases/protective-case/rosewood/back-side-right.png,/cases/protective-case/rosewood/front.png,/cases/protective-case/rosewood/side.png,155.5 x 76.8 x 9mm,12g,Rosewood+Kevlar,,,24.95
8,Black,#333333,,/cases/3t-flipcover/black/back.png,/cases/3t-flipcover/black/front.png,/cases/flip-cover/black/side.png,,,155 x 78.5 x 13mm,85g,PC+PU,,,19.95
9,Gray,#B0B0B0,,/cases/3t-flipcover/gray/back.png,/cases/3t-flipcover/gray/front.png,/cases/flip-cover/gray/side.png,,,155 x 78.5 x13mm,85g,PC+PU,,,19.95
10,Cardinal Red,#8A343D,,/cases/3t-otterbox/cardinal-red/back.png,/cases/3t-otterbox/cardinal-red/back-front.png,/cases/3t-otterbox/cardinal-red/front.png,,,158 x 83 x 12.2mm,98g,PC + Silicone,,,24.95
